,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
13,14,COLEGIO DE APLICACAO DO CE DA UFPE,26124297,Recife,Pernambuco,Federal,Urbana,52,"633,13","670,56","632,19","802,33","890,00","684,55"
14,15,VITAL BRAZIL COLEGIO,35463279,São Paulo,São Paulo,Privada,Urbana,54,"623,58","665,11","656,84","787,05","917,04","683,15"
15,16,COLEGIO IPIRANGA,33040516,Petrópolis,Rio de Janeiro,Privada,Urbana,27,"619,04","655,66","633,59","814,72","879,26","680,75"
16,17,COL DE SAO BENTO,33062633,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,45,"618,65","676,73","631,62","790,36","882,22","679,34"
17,18,FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL,23272333,Fortaleza,Ceará,Privada,Urbana,61,"618,87","649,21","636,21","806,72","896,72","677,75"
18,19,CE LEONARDO DA VINCI,32040032,Vitória,Espirito Santo,Privada,Urbana,56,"623,90","655,23","641,83","789,89","907,86","677,71"
19,20,COL PODION,53013085,Brasília,Distrito Federal,Privada,Urbana,92,"619,01","649,28","645,83","795,93","879,57","677,51"
20,21,COLEGIO MAGNUM AGOSTINIANO NOVA FLORESTA,31004731,Belo Horizonte,Minas Gerais,Privada,Urbana,141,"620,42","671,23","636,78","781,62","878,30","677,51"
21,22,ETAPA COLEGIO,35286187,Valinhos,São Paulo,Privada,Urbana,95,"619,37","652,74","654,24","781,96","847,58","677,08"
22,23,COLEGIO E CURSO PENSI,33135827,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,31,"619,74","658,80","645,99","783,69","920,65","677,06"
23,24,COLEGIO LEROTE LTDA,22022406,Teresina,Piauí,Privada,Urbana,35,"619,23","651,15","649,30","787,64","867,43","676,83"
24,25,ANTARES COLEGIO PRE VESTIBULAR,23564121,Fortaleza,Ceará,Privada,Urbana,33,"618,54","646,84","647,05","793,81","903,64","676,56"
25,26,ESCOLA SEB UNIDADE ALVARES CABRAL,35290804,Ribeirão Preto,São Paulo,Privada,Urbana,54,"621,79","652,29","650,23","780,28","894,44","676,15"
26,27,PROVECTO COLEGIO,23076208,Fortaleza,Ceará,Privada,Urbana,13,"621,15","650,62","633,59","797,46","892,31","675,70"
27,28,COLEGIO CIENCIAS APLICADAS,24097004,Natal,Rio Grande do Norte,Privada,Urbana,52,"622,21","656,41","652,15","768,82","909,62","674,90"
28,29,COLEGIO SANTO AGOSTINHO,31004651,Belo Horizonte,Minas Gerais,Privada,Urbana,237,"624,86","662,36","624,89","787,31","880,68","674,85"
29,30,MOBILE COLEGIO,35165347,São Paulo,São Paulo,Privada,Urbana,101,"631,15","660,51","620,88","785,66","885,74","674,55"
30,31,COLEGIO WR,52068986,Goiânia,Goiás,Privada,Urbana,237,"619,29","653,99","647,08","775,00","888,52","673,84"
31,32,COLEGIO ANGLO LEONARDO DA VINCI - UNIDADE GRANJA VIANA,35301279,Carapicuíba,São Paulo,Privada,Urbana,23,"620,14","658,26","633,67","782,03","853,91","673,53"
32,33,COLEGIO BERNOULLI,29467764,Salvador,Bahia,Privada,Urbana,47,"625,86","663,49","642,33","760,66","862,55","673,09"
33,34,ETAPA III COLEGIO,35563006,São Paulo,São Paulo,Privada,Urbana,58,"612,04","640,61","641,52","793,02","825,17","671,80"
34,35,COLEGIO SANTA MARCELINA,31004031,Belo Horizonte,Minas Gerais,Privada,Urbana,36,"620,72","655,09","623,04","788,25","922,22","671,78"
35,36,UFSM - COLEGIO POLITECNICO,43121926,Santa Maria,Rio Grande do Sul,Federal,Urbana,22,"627,91","650,33","627,48","778,07","889,09","670,95"
36,37,COLEGIO ALFA CEM BILINGUE,33178879,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,13,"617,39","646,41","621,19","798,65","918,46","670,91"
37,38,COLEGIO OBJETIVO DIF,22141693,Teresina,Piauí,Privada,Urbana,35,"622,49","650,73","636,34","772,00","897,71","670,39"
